model	Recall	nDCG	MRR	HR
NGCF_seed=42_e=400_bs=256_lr=0$11702456573956464_factors=64_l_w=0$01260651335934907_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0011445807384666156	0.0006202390015115196	0.0007988049793013448	0.007551055431611464
NGCF_seed=42_e=400_bs=256_lr=0$00031776552205766285_factors=64_l_w=0$010996280532604513_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0005406825637034448	0.0003474261790642312	0.000615081784105986	0.003889937646587724
NGCF_seed=42_e=300_bs=256_lr=5$430176381161492e-05_factors=64_l_w=2$335098082717585e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00044885701928956207	0.00030763036236615524	0.0006278068126642156	0.0029746582003317887
NGCF_seed=42_e=300_bs=256_lr=0$001044451676430151_factors=64_l_w=0$00011510271956904305_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0006759690525918636	0.0003469417547728737	0.0005809368020405463	0.0034895028888507523
NGCF_seed=42_e=200_bs=256_lr=0$003269781808596937_factors=64_l_w=3$042448449498182e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0006759690525918636	0.0003469417547728737	0.0005809368020405463	0.0034895028888507523
NGCF_seed=42_e=200_bs=256_lr=0$059379536230861014_factors=64_l_w=6$384406676490417e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0004563894893902243	0.0005616935298711312	0.001903053456453849	0.0040043475773697155
NGCF_seed=42_e=100_bs=256_lr=0$03128909297068618_factors=64_l_w=0$9659086370538272_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.004179367718125698	0.0046490291675936575	0.011626119247401298	0.021337452090841483
NGCF_seed=42_e=300_bs=256_lr=2$096207722217206e-05_factors=64_l_w=0$14139959380056896_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0009079716214668473	0.0005768082475047389	0.0010108462951957076	0.0053772667467536185
NGCF_seed=42_e=100_bs=256_lr=0$041351571452961595_factors=64_l_w=0$07192901084136044_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0004957810363002166	0.00031161022755320515	0.0005476916572829109	0.002917453234940793
NGCF_seed=42_e=200_bs=256_lr=0$0004218537982055257_factors=64_l_w=0$0025280510730854543_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00020013679270576158	0.00018591024927817505	0.0005402410081094396	0.00183055889251187
NGCF_seed=42_e=200_bs=256_lr=1$4911357387898448e-05_factors=64_l_w=1$6080582883430455e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.000502150583662634	0.0003147438865762436	0.0005656947814558828	0.0033750929580687603
NGCF_seed=42_e=100_bs=256_lr=0$08043390767896916_factors=64_l_w=0$010984035416423359_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0004896695338648748	0.0002740338970735771	0.0003702862619345673	0.0033178879926777645
NGCF_seed=42_e=300_bs=256_lr=0$0002604981780517294_factors=64_l_w=0$04468872887857782_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0007255218684226701	0.0004193903861340617	0.0006784442295163975	0.004519192265888679
