model	Recall	nDCG
LightGCN_seed=42_e=1000_bs=64_lr=0$11702456573956464_factors=64_n_layers=1_l_w=0$01260651335934907_n_fold=1	0.0008350172951969667	0.0009847783211315313
LightGCN_seed=42_e=1000_bs=128_lr=0$00031776552205766285_factors=64_n_layers=1_l_w=0$010996280532604513_n_fold=1	0.0008350172951969667	0.0009847783211315313
LightGCN_seed=42_e=400_bs=128_lr=5$430176381161492e-05_factors=64_n_layers=1_l_w=2$335098082717585e-05_n_fold=1	0.0008350172951969667	0.0009847783211315313
LightGCN_seed=42_e=400_bs=64_lr=0$001044451676430151_factors=64_n_layers=1_l_w=0$00011510271956904305_n_fold=1	0.0008350172951969667	0.0009847783211315313
LightGCN_seed=42_e=300_bs=64_lr=0$003269781808596937_factors=64_n_layers=1_l_w=3$042448449498182e-05_n_fold=1	0.0008350172951969667	0.0009847783211315313
