model	nDCG	Recall
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=32_l_w=0$001_n_layers=1	0.010436145026499095	0.012721961623679886
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$0001_n_layers=4	0.018298215198072405	0.023437191899694208
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=8_l_w=0$0001_n_layers=1	0.011483287293428929	0.014650875457692728
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=1e-05_n_layers=3	0.017332969382343116	0.02242741746457731
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=0$001_n_layers=2	0.01582561517210913	0.020562447973053087
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=8_l_w=0$0001_n_layers=3	0.009240340648864472	0.011307327356967057
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=1e-05_n_layers=3	0.026422807871664407	0.03424654326328543
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=64_l_w=0$01_n_layers=2	0.014441653109813999	0.018266914419987373
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=0$0001_n_layers=1	0.025446703675663263	0.03342271156549928
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=16_l_w=0$0001_n_layers=4	0.015179550329160579	0.01956580593172498
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=8_l_w=0$001_n_layers=1	0.01175632535338365	0.014860244475182638
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=32_l_w=1e-05_n_layers=4	0.022909857065302467	0.02936363625762912
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$0001_n_layers=2	0.016294897840770935	0.02074657420427096
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$001_n_layers=3	0.013399600115860534	0.016882900312695657
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=1e-05_n_layers=3	0.018739589313897714	0.024116468775889625
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=64_l_w=0$0001_n_layers=1	0.012065780478317046	0.015113433536588809
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=64_l_w=0$01_n_layers=3	0.00872084873579737	0.010659217426641523
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=8_l_w=0$01_n_layers=3	0.013540771234259669	0.01736337804826919
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=1e-05_n_layers=4	0.017802628374144747	0.02283945738516487
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=32_l_w=0$0001_n_layers=1	0.02038785482064593	0.026289285849102742
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=1e-05_n_layers=1	0.025284861948563542	0.032915713232138495
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=16_l_w=1e-05_n_layers=3	0.011829430569350954	0.015033879420937566
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=16_l_w=0$01_n_layers=3	0.00932015279936519	0.011478899224931477
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=1e-05_n_layers=2	0.025279739182523527	0.03299464314095379
