model	nDCG	Recall
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=32_l_w=0$001_n_layers=1	0.0725124229378255	0.07112341597399607
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$0001_n_layers=4	0.08264659165021265	0.07933068598631453
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=8_l_w=0$0001_n_layers=1	0.06966742381758059	0.06715636312638262
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=1e-05_n_layers=3	0.09060425679677102	0.08608487192031951
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=0$001_n_layers=2	0.08173173408534282	0.0781902372185027
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=8_l_w=0$0001_n_layers=3	0.07257321187529134	0.0713384755304106
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=1e-05_n_layers=3	0.11020876442337722	0.10497087964049323
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=64_l_w=0$01_n_layers=2	0.058806983479425534	0.05985565881499247
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=0$0001_n_layers=1	0.10608125776294013	0.09941317047609069
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=16_l_w=0$0001_n_layers=4	0.0869429457125036	0.08293075562786419
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=8_l_w=0$001_n_layers=1	0.04989573541731508	0.049441534723523625
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=32_l_w=1e-05_n_layers=4	0.11045846154746115	0.10218619173842859
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$0001_n_layers=2	0.07720997473939263	0.07504346210361074
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$001_n_layers=3	0.07828374469383748	0.0749237967468845
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=1e-05_n_layers=3	0.078282081733356	0.07611480315634443
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=64_l_w=0$0001_n_layers=1	0.07041572302009891	0.06851226877463415
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=64_l_w=0$01_n_layers=3	0.05681236845957016	0.05692596986244803
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=8_l_w=0$01_n_layers=3	0.08338240353226652	0.07904123779769734
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=1e-05_n_layers=4	0.07308411405016779	0.0727735263592609
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=32_l_w=0$0001_n_layers=1	0.10026484299491098	0.0941675716284937
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=16_l_w=1e-05_n_layers=4	0.0992902315912964	0.0942203436745585
