model	nDCG	Recall
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=32_l_w=0$01_n_layers=1	0.0210662714700629	0.026718315074988983
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=16_l_w=0$0001_n_layers=1	0.02485349663636594	0.031351216995802386
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=1e-05_n_layers=1	0.0233472819307356	0.029812122472821712
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=8_l_w=0$0001_n_layers=1	0.03138176431046162	0.039683711531168266
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$001_n_layers=1	0.024934549045654668	0.03188741269942755
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=16_l_w=0$01_n_layers=1	0.027671694418078156	0.03489716361474954
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=8_l_w=0$001_n_layers=1	0.024770234707105456	0.03098450279730763
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=64_l_w=1e-05_n_layers=1	0.03629962177580251	0.04512311868026962
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$001_n_layers=1	0.023413493768226618	0.029901886907826983
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=32_l_w=1e-05_n_layers=1	0.023390974924487273	0.029626486200167716
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=8_l_w=0$01_n_layers=1	0.02175438899659329	0.027534825989086298
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=16_l_w=0$0001_n_layers=1	0.02633870042536554	0.03341427331232417
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=32_l_w=1e-05_n_layers=1	0.03806717791058297	0.04768848274578386
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=1e-05_n_layers=1	0.028591508713791153	0.03661864800951513
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$01_n_layers=1	0.023092528592125808	0.029679586284624124
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=0$01_n_layers=1	0.041790766954742084	0.052619842014435744
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=64_l_w=0$0001_n_layers=1	0.03680966013039581	0.046042962892028534
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=8_l_w=1e-05_n_layers=1	0.02108546207680128	0.026610530816366957
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$0001_n_layers=1	0.02332808788180509	0.029772912225861217
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=64_l_w=0$01_n_layers=1	0.03961568051005763	0.04964606935687682
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=0$001_n_layers=1	0.024241834557971895	0.03091557633140771
